year;month;revenue
2024;4;88764402
2023;12;4646045
2023;2;36551160
2024;4;33925352
2024;2;49539699
2024;5;101223648
2023;9;46083865
2024;12;18468761
2023;12;46176130
2024;4;16520389
2023;5;20016790
2024;1;54781620
2024;8;53123547
2023;4;54891746
2023;12;72585100
2024;7;60619244
2024;3;29537466
2023;10;56630511
2023;10;100248760
2023;3;81677964
2024;10;84748885
2023;12;75400430
2024;7;121429588
2024;7;50740596
2023;1;24759012
2024;3;55916203
2024;9;22291110
2024;9;39664145
2024;5;25684806
2024;6;14124276
2023;9;40247214
2023;3;27461643
2024;2;139423074
2023;9;37204604
2024;9;42947177
2023;11;33597736
2023;3;5871852
2023;5;9254471
2024;12;15006713
2023;6;19971248
2023;8;36736424
2024;2;60852624
2024;9;7765308
2024;8;137827557
2024;9;116443558
2024;2;16543856
2023;5;119553518
2023;9;78314148
2023;5;4308479
2024;5;140807912
2023;11;53514894
2023;4;120618638
2024;6;23546532
2024;5;121993782
2024;4;24063432
2024;5;34537741
2023;11;43618659
2023;10;18222840
2024;4;34623054
2023;3;50169204
2024;9;65471434
2024;3;62274156
2023;6;5580152
2023;1;32007172
2024;3;8928565
2024;1;58913352
2024;7;55431546
2023;2;18083510
2024;8;53315829
2023;10;128281944
2023;6;99060408
2024;2;12573438
2023;5;67835984
2023;4;69114320
2024;9;30521505
2023;4;27708885
2023;1;88948218
2023;12;17297450
2024;7;119941192
2023;1;115816792
2024;5;17703814
2024;7;101094185
2024;6;8354140
2023;10;15703778
2024;11;52270917
2023;2;23526663
2023;5;17100724
2024;4;12720033
2023;12;30866484
2024;6;92685054
2024;7;18047670
2023;7;22518460
2024;12;36439272
2024;5;58604259
2024;5;28936800
2024;8;16651557
2023;7;6238924
2023;4;36029502
2023;2;13539198
2023;10;47439282
2024;3;59822847
2023;11;31269630
2023;12;47013078
2024;10;11853166
2024;9;18803928
2024;3;27959958
2024;2;77001560
2023;12;36193086
2023;9;72843488
2024;11;39723318
2024;5;61279275
2024;9;34865574
2023;7;8420896
2023;10;34849824
2023;8;107927372
2024;3;58534287
2023;3;23308065
2024;10;17417570
2024;6;35707552
2024;11;13844019
2023;5;16811532
2023;12;45492454
2023;1;53167899
2024;5;79465320
2023;9;52716285
2024;12;16786814
2023;11;39329794
2023;1;13196193
2024;6;4042674
2024;3;33190844
2023;7;33952304
2023;7;45712080
2024;5;100526226
2023;6;17052052
2024;11;23025755
2024;4;87915270
2023;11;54312333
2024;3;8359472
2024;6;25741284
2024;11;20411612
2024;4;51453252
2024;7;66933848
2023;3;35667440
2023;8;31187176
2024;4;85635610
2023;5;18018490
2023;12;119603700
2024;6;108748638
2023;9;22763940
2024;4;88162670
2024;6;59194332
2023;3;68942072
2023;1;46072415
2023;11;4897214
2024;6;56581301
2023;9;28766514
2024;8;54848276
2023;7;21311050
2023;7;18692180
2024;4;7750231
2023;9;37623240
2023;7;70761084
2023;5;57088766
2023;3;4002795
2023;7;46591368
2024;8;11403364
2024;4;42844840
2023;1;78981128
2023;9;61220553
2024;6;37430682
2024;6;66991764
2023;5;99191250
2023;7;17304234
2024;12;38332224
2023;8;17128608
2024;7;16620494
2024;5;14405454
2023;12;88689595
2024;4;28844766
2024;8;16813940
2024;9;43449434
2024;8;8702600
2024;3;34207246
2024;12;107899068
2023;12;52162371
2023;4;20297955
2023;4;13530807
2024;8;90495475
2023;1;51819204
2023;8;38822224
2024;10;29640359
2024;12;31105205
2023;10;61451040
2024;5;40035930
2023;7;83469730
2023;3;28094142
2023;5;55844551
2023;9;37854176
2023;8;23082645
2024;6;8039564
2023;6;9111533
2024;3;16987862
2023;5;16639392
2023;2;79070692
2024;1;30688672
2024;7;48754392
2023;5;18133140
2024;12;63940814
2023;10;70199072
2024;7;25509522
2024;8;18266868
2024;11;29346795
2023;7;18374609
2023;1;16222956
2024;6;15760138
2024;3;83096960
2024;12;49878306
2024;1;62838118
2024;11;56570388
2023;10;18485188
2023;5;87867955
2023;4;29578028
2024;6;137472475
2024;3;36300740
2024;10;24984548
2024;12;29564458
2023;2;43980620
2023;5;136708691
2023;5;70839020
2023;5;102399630
2024;10;71208960
2024;7;97678545
2023;10;7805063
2024;4;19994612
2024;1;17882650
2023;8;8503089
2023;6;11694372
2023;6;16607262
2024;6;46789524
2023;4;65914065
2023;9;64893633
2024;6;16118836
2024;10;35979316
2024;10;106437639
2024;1;49490484
2023;1;34967558
2024;4;72616655
2024;4;25048947
2024;10;59617996
2023;5;138660515
2024;12;105280154
2024;7;36616366
2023;2;43446080
2023;1;99790962
2023;10;37959282
2024;6;106799100
2023;2;58903024
2024;3;88188995
2024;6;59737408
2023;7;17611776
2024;6;16658761
2023;1;55495236
2023;9;125318767
2023;9;19327076
2023;3;61067548
2023;7;40985304
2024;4;109753464
2023;6;22901110
2024;12;140019012
2024;4;4987751
2024;2;101645852
2023;12;30234794
2024;11;30364930
2023;8;54918164
2024;7;64835939
2023;6;98068840
2023;4;99532446
2023;8;16973097
2024;9;24995022
2024;11;17035620
2024;5;30234736
2023;3;80495060
2024;3;5780790
2024;7;66534004
2023;8;23617515
2023;3;20171183
2024;4;14893922
2024;1;56853606
2024;9;80447184
2024;12;29461082
2023;3;8735016
2024;2;8710387
2023;1;30375776
2023;2;78460560
2023;7;60896180
2023;1;49725600
2023;2;20289948
2024;11;6220177
2024;9;54741960
2023;3;35508086
2023;3;69683788
2024;4;17691752
2023;7;57691564
2024;7;18822372
2023;10;17411418
2023;2;33940128
2024;2;23445864
2024;10;77058220
2023;7;11260386
2023;12;25754496
2023;10;75723975
2024;6;17846764
2023;3;44094330
2024;5;101397590
2024;8;7702918
2023;5;4406396
2023;11;73637720
2023;5;141819580
2023;6;73861060
2024;8;33978224
2024;5;13915347
2023;2;53310003
2024;2;18342687
2024;1;127827434
2024;12;27845465
2023;6;83926455
2023;10;25368528
2023;8;33606726
2024;8;14577994
2024;4;36592008
2024;3;89125940
2024;9;28311888
2024;5;76785165
2024;5;71450448
2023;4;92346230
2024;3;104914950
2024;4;79775768
2024;7;22217448
2023;3;28030056
2024;1;16097824
2023;10;18693644
2024;5;52397466
2024;1;14835639
2023;11;57160089
2024;3;8959404
2024;7;32921161
2023;5;60971796
2023;7;12555532
2023;4;8766186
2024;2;26205948
2024;5;34512976
2023;7;60210423
2024;11;11509914
2023;12;60526844
2023;9;75818795
2023;5;53320491
2023;12;42841795
2024;9;8934286
2024;3;87287485
2023;1;106150548
2024;10;53358861
2023;12;26043186
2024;2;51774513
2024;11;8676288
2023;3;97632860
2024;6;32418830
2024;1;128095765
2023;5;28580069
2024;11;24345108
2023;11;57076719
2024;8;55156620
2023;4;16785248
2023;7;12893606
2023;11;120795892
2023;7;103939590
2023;10;70454424
2023;2;23450176
2024;3;16510737
2024;6;50390856
2023;11;9251972
2023;12;14642003
2024;4;109552038
2023;3;31579192
2024;7;7520655
2023;2;141165290
2023;5;7586155
2024;5;124529734
2023;3;47318880
2023;4;106038504
2023;4;27431109
2023;6;4190545
2024;3;80886460
2023;9;39362393
2024;3;125469330
2024;7;99141150
2024;6;29031466
2023;9;60047463
2024;5;56773356
2023;10;38687046
2024;9;58010393
2023;3;13694370
2024;2;36576558
2024;7;64086064
2023;12;35528582
2024;7;30260916
2024;9;30498245
2023;11;27931480
2024;11;45244416
2023;8;23554968
2024;6;118530013
2024;11;54573450
2024;2;80973056
2023;1;125504393
2023;8;109626858
2024;3;23333247
2024;7;16381340
2024;8;48941304
2023;9;19853153
2024;9;22063164
2023;1;107685702
2023;6;87431050
2024;10;101972920
2024;6;33487194
2024;8;16647156
2024;1;8943931
2023;1;34434981
2024;12;8754448
2024;11;9667300
2023;1;35538246
2024;6;17599244
2023;1;4468977
2024;1;142008195
2024;7;40839042
2023;7;61014054
2024;4;23497475
2023;1;128410282
2023;9;101193258
2023;11;56427126
2023;11;17798073
2024;3;33991284
2023;1;16625862
2024;9;108389586
2023;7;119345156
2023;8;18528316
2023;8;104204766
2024;7;59589924
2024;4;50111118
2023;7;33214930
2023;11;33804057
2023;8;75997500
2024;5;6131121
2024;2;12774492
2023;2;90519205
2024;10;16645090
2023;3;69244112
2023;6;12925116
2023;3;76393800
2024;1;11786290
2024;12;6125675
2023;11;18056979
2023;8;49897155
2023;2;13157343
2023;11;110906556
2024;1;9015106
2024;4;17940924
2024;10;35785294
2023;10;116800488
2023;1;16389876
2024;4;8292322
2024;10;110019684
2024;10;57175279
2024;8;85125610
2023;6;18005421
2024;2;22729325
2023;11;11134388
2024;12;139211870
2023;1;36228390
2024;3;52904751
2024;12;24027489
2023;10;18730080
2024;7;110347530
2024;2;36665642
2023;10;30612805
2024;10;68737064
2024;7;42760105
2023;9;20148565
2023;1;39953714
2023;7;92472120
2023;3;77310285
2024;1;143101000
2023;6;60675465
2023;2;73738844
2024;1;87183900
2024;2;37918604
2023;3;21442400
2023;4;69009020
2024;7;28761425
2023;8;71267160
2024;2;38731110
2023;10;35550956
2023;9;23679696
2023;1;58150918
2024;1;47269356
2023;2;12704925
2023;3;16579244
2023;10;61902701
2023;8;46224270
2023;5;87146355
2023;6;52515090
2024;3;92565924
2024;1;69704388
2023;8;9068482
2023;4;8558453
2024;1;34639562
2023;5;32843286
2024;3;46428930
2024;11;18127778
2023;4;44218430
2024;12;6017537
2024;11;53338095
2024;10;50821569
2023;11;17546829
2023;8;71742844
2024;1;32952628
2023;5;39164424
2024;6;17714680
2023;7;33941248
2023;8;79204132
2023;11;24007820
2023;1;70162096
2023;3;45513006
2024;7;107952804
2023;11;25554052
2024;7;58261920
2023;5;40761958
2023;2;36186894
2024;4;19916740
2024;11;28490508
2024;8;18378752
2023;2;30378394
2024;9;74083795
2024;9;54400167
2023;4;16238450
2024;2;98604970
2023;12;20012447
2024;9;127276422
2024;3;60687064
2023;7;40786122
2024;1;110330442
2023;5;22713850
2023;6;27898374
2023;7;15345753
2023;9;72119448
2024;2;108306234
2024;2;44439510
2024;9;104578019
2023;2;70085560
2024;8;76967205
2023;3;126075530
2024;4;17786268
2023;5;49756185
2024;10;44329185
2024;3;23759024
2024;6;52597139
2023;7;128115449
2024;1;4673882
2023;12;7616603
2024;7;91927482
2023;5;59170208
2024;12;67648444
2023;5;61088343
2024;1;20358811
2023;12;102299955
2023;2;90747528
2024;12;121703582
2024;6;43896160
2024;9;109885764
2024;7;25099548
2023;12;17980675
2024;6;36304630
2024;11;71295440
2023;7;53068666
2023;11;25256502
2024;12;12324426
2024;4;20200975
2023;5;7801411
2024;1;79783596
2023;2;54834159
2023;5;64509641
2023;2;103331739
2023;4;19398030
2024;9;6352756
2023;6;123947243
2023;4;18076940
2024;3;9342329
2024;4;37196970
2023;5;21504105
2024;6;32018840
2023;1;29356422
2023;3;82524610
2023;4;55199253
2024;3;101549602
2023;4;110774964
2023;1;83770870
2024;10;11950166
2023;5;30023324
2024;12;15314746
2023;2;18459046
2024;5;91051986
2023;3;49819803
2024;7;74945850
2023;3;16381506
2024;1;65791320
2023;5;8031598
2023;2;17383727
2024;4;4819945
2023;3;47401065
2024;8;46533234
2024;7;122918724
2023;2;40614315
2023;4;9132529
2023;12;127345904
2024;9;117127644
2023;12;9734380
2023;2;101840750
2024;12;6274560
2024;10;19864691
2023;8;24935490
2023;7;40336072
2024;4;38533374
2023;9;124126562
2024;4;44663750
2024;6;29254674
2023;4;4643790
2023;7;73348540
2023;1;41534136
2024;8;34607578
2024;1;71978596
2023;9;71927788
2024;12;72532375
2024;1;19015088
2023;6;76500890
2023;8;26369328
2024;8;66810584
2023;3;109720776
2023;12;90131988
2023;4;18180352
2024;3;11721130
2024;1;29025510
2024;6;70540360
2024;9;54462849
2023;5;45063508
2024;1;18448201
2024;8;14813673
2023;11;28049424
2024;12;35599782
2023;9;32420232
2024;7;91738950
2023;9;16992072
2024;11;91583045
2023;1;82715065
2023;7;7938598
2023;2;138473587
2023;8;20103760
2023;1;120433740
2024;12;74392610
2023;4;33397952
2024;1;18365847
2024;12;103866876
2023;3;61426245
2024;11;5852895
2024;12;35634998
2023;6;100123600
2023;2;40674670
2023;5;14522076
2023;9;74469260
2023;3;48932124
2023;6;16469330
2024;10;15286166
2024;11;5659011
2024;9;12955634
2023;5;125042099
2023;3;35226144
2024;4;5545708
2023;1;61414101
2024;11;17726228
2024;8;46368831
2023;7;79937764
2024;6;14650594
2024;9;102796057
2023;3;35392422
2024;8;22380910
2023;6;11932304
2024;3;15285234
2023;5;31162130
2024;1;18725504
2023;11;52272474
2024;12;74005645
2024;3;60480560
2023;9;33866204
2023;11;9173728
2024;9;16512419
2024;6;33027932
2023;8;4842793
2024;10;88905270
2024;9;50595924
2023;7;40909068
2024;4;34092624
2024;5;61456848
2023;3;8840354
2023;11;89746255
2023;9;40168344
2024;2;24323613
2024;4;17909246
2023;1;24463715
2023;7;65145353
2023;11;9106304
2024;10;52084080
2023;9;75900715
2023;8;50567256
2024;3;24707514
2024;10;5998204
2024;8;117953928
2024;11;45637452
2024;9;40542405
2024;8;72096744
2023;5;118705542
2024;9;19547361
2023;6;42051970
2024;4;30683352
2023;5;80173788
2024;8;47035230
2023;7;56047369
2023;7;42314930
2023;3;98580970
2024;3;75071210
2024;3;49220724
2024;9;7504576
2023;3;39847002
2024;8;9068806
2023;1;30169196
2024;9;17904744
2023;1;60281325
2024;3;66207144
2023;7;31837065
2024;4;89331745
2024;9;74942045
2024;5;53051488
2023;9;14561160
2024;4;62032516
2024;4;60421011
2024;8;20497980
2024;7;25894516
2024;6;18983986
2024;5;35703628
2024;11;57894375
2023;8;101265790
2024;10;17192388
2024;3;16785396
2023;5;8187216
2023;6;30904310
2024;2;101903350
2024;11;14873052
2023;3;34239954
2023;3;56255022
2024;11;138979274
2023;3;34893762
2024;1;23020040
2024;9;33041764
2024;3;140219191
2024;5;24910090
2023;1;59645931
2023;8;78115336
2023;6;34058864
2024;6;104242432
2024;2;21490105
2023;7;18580480
2023;4;141645434
2023;12;69633352
2024;9;16603565
2024;12;21233305
2024;3;18698634
2023;10;31524339
2024;3;98926780
2023;6;36954824
2024;11;45434690
2024;4;5562999
2024;2;29303212
2023;10;28238256
2023;10;54362010
2023;8;30912635
2023;9;47549166
2023;9;106367982
2024;10;56886753
2023;10;16677132
2024;5;36223122
2024;10;118639780
2023;3;33239188
2024;4;36829032
2024;6;24606848
2024;8;34852752
2023;5;90465726
2023;11;29661448
2024;7;50234430
2024;9;14855887
2023;4;12565467
2023;3;9228829
2023;9;88539180
2023;3;7782346
2023;11;43599410
2023;8;36742434
2024;6;60478096
2024;10;4401176
2024;2;49307304
2024;3;15258932
2023;9;59733102
2023;11;141922179
2024;3;36798108
2023;5;82646810
2023;4;18438565
2023;10;81702996
2023;10;68931160
2023;12;66637692
2023;8;11936722
2023;5;46268688
2024;12;85029675
2024;6;128645531
2024;10;73232555
2023;10;119662690
2023;10;33098032
2023;2;17104398
2023;6;9270924
2024;8;33872564
2023;3;26405523
2024;8;87775315
2023;11;17435972
2024;2;99056035
2024;6;119661997
2024;9;23124140
2023;12;69816908
2024;9;37706992
2023;4;142934750
2024;9;43301055
2023;9;7905041
2023;4;33712184
2023;5;88153065
2023;6;80881956
2023;7;33403350
2024;1;126142359
2023;9;16837984
2024;7;14808710
2024;1;100740942
2023;4;16788574
2024;5;42381150
2024;7;17834330
2023;6;88958995
